keyword,cluster,product_relevance,wordstat_broad,frequency_type,demand_scope,source_seed,region,device,collected_at,source_url
гороскоп близнецы женщина,horoscope,RELEVANT,41220,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп рак мужчина,horoscope,RELEVANT,40803,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
самый точный гороскоп мужчина,horoscope,RELEVANT,40649,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп водолей женщина,horoscope,RELEVANT,40234,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп на июль мужчины,horoscope,RELEVANT,39980,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп стрелец женщина,horoscope,RELEVANT,39734,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп козерог женщина,horoscope,RELEVANT,39335,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп рыбы женщина,horoscope,RELEVANT,38874,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп женщины самый,horoscope,RELEVANT,38377,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп дева женщина,horoscope,RELEVANT,38335,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
